month,edge,bet_type,bankroll_eur,plusvalue_eur,monthly_growth_pct,n_bets
2026-01,0,flat,13221.9,3221.9,32.22,144
2026-02,0,flat,18004.8,8004.8,36.17,235
2026-03,0,flat,16859.4,6859.4,-6.36,49
2026-04,0,flat,22514.0,12514.0,33.54,361
2026-05,0,flat,19445.8,9445.8,-13.63,393
2026-06,0,flat,18532.7,8532.7,-4.7,43
2026-07,0,flat,19530.9,9530.9,5.39,58
2026-01,0,kelly_bounded,17456.82,7456.82,74.57,144
2026-02,0,kelly_bounded,40261.62,30261.62,130.64,235
2026-03,0,kelly_bounded,33857.51,23857.51,-15.91,49
2026-04,0,kelly_bounded,94701.85,84701.85,179.71,361
2026-05,0,kelly_bounded,61201.04,51201.04,-35.38,393
2026-06,0,kelly_bounded,51775.15,41775.15,-15.4,43
2026-07,0,kelly_bounded,62976.88,52976.88,21.64,58
2026-01,5,flat,12914.4,2914.4,29.14,108
2026-02,5,flat,17714.8,7714.8,37.17,159
2026-03,5,flat,16959.1,6959.1,-4.27,35
2026-04,5,flat,24590.6,14590.6,45.0,214
2026-05,5,flat,24384.0,14384.0,-0.84,238
2026-06,5,flat,23201.1,13201.1,-4.85,29
2026-07,5,flat,23731.8,13731.8,2.29,42
2026-01,5,kelly_bounded,17017.45,7017.45,70.17,108
2026-02,5,kelly_bounded,39629.32,29629.32,132.87,159
2026-03,5,kelly_bounded,34963.22,24963.22,-11.77,35
2026-04,5,kelly_bounded,123201.48,113201.48,252.37,214
2026-05,5,kelly_bounded,110705.38,100705.38,-10.14,238
2026-06,5,kelly_bounded,90715.25,80715.25,-18.06,29
2026-07,5,kelly_bounded,104352.79,94352.79,15.03,42
2026-01,10,flat,12761.5,2761.5,27.61,66
2026-02,10,flat,16781.2,6781.2,31.5,96
2026-03,10,flat,16645.6,6645.6,-0.81,22
2026-04,10,flat,20767.5,10767.5,24.76,120
2026-05,10,flat,18936.4,8936.4,-8.82,118
2026-06,10,flat,18346.8,8346.8,-3.11,19
2026-07,10,flat,19679.8,9679.8,7.27,19
2026-01,10,kelly_bounded,16868.83,6868.83,68.69,66
2026-02,10,kelly_bounded,34755.0,24755.0,106.03,96
2026-03,10,kelly_bounded,33659.95,23659.95,-3.15,22
2026-04,10,kelly_bounded,71032.89,61032.89,111.03,120
2026-05,10,kelly_bounded,50125.8,40125.8,-29.43,118
2026-06,10,kelly_bounded,44860.04,34860.04,-10.51,19
2026-07,10,kelly_bounded,58022.82,48022.82,29.34,19
