date,month,league,edge,bet_type,match,bet_on,odds,model_prob,edge_value,stake_eur,won,profit_eur,bankroll_after_eur
2026-01-21,2026-01,LPL,0,flat,LNG Esports vs LGD Gaming,LNG Esports,1.55,0.6659,0.0207,100.0,True,55.0,10055.0
2026-01-21,2026-01,LPL,0,flat,Invictus Gaming vs Top Esports,Top Esports,2.899,0.4721,0.1271,100.0,False,-100.0,9955.0
2026-01-21,2026-01,LOL,0,flat,NextGeneration Esports vs 3BL Esports,NextGeneration Esports,2.174,0.5123,0.0523,100.0,True,117.4,10072.4
2026-01-21,2026-01,NLC,0,flat,4 SWINES & A BUM vs Bulldog Esports,4 SWINES & A BUM,3.571,0.3544,0.0744,100.0,False,-100.0,9972.4
2026-01-21,2026-01,LFL,0,flat,BK ROG Esports vs Zephyr Esport,BK ROG Esports,1.626,0.8828,0.2678,100.0,True,62.6,10035.0
2026-01-21,2026-01,LOL,0,flat,GnG Amazigh vs One More Esports,GnG Amazigh,1.515,0.72,0.06,100.0,True,51.5,10086.5
2026-01-21,2026-01,LCK,0,flat,DRX vs DN SOOPers,DN SOOPers,2.0,0.5312,0.0312,100.0,True,100.0,10186.5
2026-01-22,2026-01,LOL,0,flat,Dragons Esports vs One More Esports,Dragons Esports,1.25,0.9438,0.1438,100.0,True,25.0,10211.5
2026-01-22,2026-01,LFL,0,flat,Vitality.Bee vs Karmine Corp Blue Stars,Vitality.Bee,1.439,0.8823,0.1874,100.0,True,43.9,10255.4
2026-01-22,2026-01,NLC,0,flat,Arctic Pandas vs 4 SWINES & A BUM,4 SWINES & A BUM,3.922,0.414,0.159,100.0,False,-100.0,10155.4
2026-01-22,2026-01,LOL,0,flat,Anubis Gaming vs 3BL Esports,3BL Esports,4.444,0.4702,0.2452,100.0,True,344.4,10499.8
2026-01-22,2026-01,LPL,0,flat,Team WE vs Ninjas in Pyjamas,Team WE,1.613,0.6987,0.0787,100.0,False,-100.0,10399.8
2026-01-22,2026-01,LCK,0,flat,BNK FEARX vs Gen.G,Gen.G,1.156,0.8964,0.0313,100.0,True,15.6,10415.4
2026-01-22,2026-01,LPL,0,flat,ThunderTalk Gaming vs EDward Gaming,EDward Gaming,1.274,0.8112,0.0263,100.0,True,27.4,10442.8
2026-01-22,2026-01,LCK,0,flat,HANJIN BRION vs Hanwha Life Esports,Hanwha Life Esports,2.041,0.942,0.452,100.0,True,104.1,10546.9
2026-01-22,2026-01,LFL,0,flat,Solary vs Yumeea,Yumeea,24.39,0.1086,0.0676,100.0,False,-100.0,10446.9
2026-01-22,2026-01,LCKC,0,flat,Nongshim Esports Academy vs KT Rolster Challengers,Nongshim Esports Academy,2.247,0.5705,0.1254,100.0,False,-100.0,10346.9
2026-01-22,2026-01,LCKC,0,flat,BNK FearX Youth vs Dplus KIA Challengers,Dplus KIA Challengers,2.222,0.572,0.1219,100.0,False,-100.0,10246.9
2026-01-22,2026-01,LFL,0,flat,Galions vs Caldya Esport,Galions,1.143,0.9459,0.071,100.0,True,14.3,10261.2
2026-01-22,2026-01,NLC,0,flat,DMG Esports vs Verdant,Verdant,2.041,0.6967,0.2068,100.0,False,-100.0,10161.2
2026-01-22,2026-01,NLC,0,flat,Arctic Pandas vs Lundqvist Lightside,Arctic Pandas,1.439,0.7141,0.0192,100.0,True,43.9,10205.1
