match_date_utc,league,bo_format,team1,team2,proba_team1,proba_team2,last_proba_team1,last_proba_team2,used_team1,used_team2,conf_team1,conf_team2,model_info,status,debug_error,symmetry_check,match_dt,t1_norm,t2_norm,fixtureId,startTimeUTC,tournamentName,participant1Name,participant2Name,match_quality_team_score,match_quality_time_delta_min,has_odds_match,updatedAt,1xbet_team1,1xbet_team2,1xbit_team1,1xbit_team2,20bet_team1,20bet_team2,22bet_team1,22bet_team2,7bet.lt_team1,7bet.lt_team2,allbritishcasino_team1,allbritishcasino_team2,alphawin_team1,alphawin_team2,asports.bet_team1,asports.bet_team2,atg.se_team1,atg.se_team2,bcgame_team1,bcgame_team2,bet365_team1,bet365_team2,bet365-nj_team1,bet365-nj_team2,bet365.de_team1,bet365.de_team2,bet487_team1,bet487_team2,betano_team1,betano_team2,betano.bg_team1,betano.bg_team2,betano.ca_team1,betano.ca_team2,betano.cz_team1,betano.cz_team2,betano.de_team1,betano.de_team2,betano.dk_team1,betano.dk_team2,betano.mx_team1,betano.mx_team2,betano.pe_team1,betano.pe_team2,betano.ro_team1,betano.ro_team2,betfury_team1,betfury_team2,betify_team1,betify_team2,betinia.dk_team1,betinia.dk_team2,betmgm.co.uk_team1,betmgm.co.uk_team2,betonred_team1,betonred_team2,betplay_team1,betplay_team2,betplay.io_team1,betplay.io_team2,betrivers_team1,betrivers_team2,betuk_team1,betuk_team2,betway_team1,betway_team2,betway.de_team1,betway.de_team2,betway.es_team1,betway.es_team2,betwinner_team1,betwinner_team2,blaze_team1,blaze_team2,bluechip_team1,bluechip_team2,bolsadeaposta-spb_team1,bolsadeaposta-spb_team2,campobet.dk_team1,campobet.dk_team2,casapariurilor.ro_team1,casapariurilor.ro_team2,casumo_team1,casumo_team2,cloudbet_team1,cloudbet_team2,coolbet_team1,coolbet_team2,coolzino_team1,coolzino_team2,cryptoleo_team1,cryptoleo_team2,duelbits_team1,duelbits_team2,efortuna.ro_team1,efortuna.ro_team2,espnbet_team1,espnbet_team2,esportivabet_team1,esportivabet_team2,expekt.dk_team1,expekt.dk_team2,expekt.se_team1,expekt.se_team2,fairpari_team1,fairpari_team2,fezbet_team1,fezbet_team2,fortunejack_team1,fortunejack_team2,fourwinds_team1,fourwinds_team2,goldenpalacesports.be_team1,goldenpalacesports.be_team2,greatwin_team1,greatwin_team2,grosvenor_team1,grosvenor_team2,ivibet_team1,ivibet_team2,kalshi_team1,kalshi_team2,leovegas_team1,leovegas_team2,leovegas.dk_team1,leovegas.dk_team2,leovegas.it_team1,leovegas.it_team2,librabet_team1,librabet_team2,livescorebet_team1,livescorebet_team2,lottoland_team1,lottoland_team2,megapari_team1,megapari_team2,melbet_team1,melbet_team2,merkurxtip.cz_team1,merkurxtip.cz_team2,mrbit.ro_team1,mrbit.ro_team2,napoleonsports.be_team1,napoleonsports.be_team2,netbet_team1,netbet_team2,ninecasino_team1,ninecasino_team2,ole777_team1,ole777_team2,paf_team1,paf_team2,paf.es_team1,paf.es_team2,pin88_team1,pin88_team2,pinnacle_team1,pinnacle_team2,piwi247-spb_team1,piwi247-spb_team2,pixbet_team1,pixbet_team2,polymarket_team1,polymarket_team2,powbet_team1,powbet_team2,ps3838_team1,ps3838_team2,quickwin_team1,quickwin_team2,rabona_team1,rabona_team2,rainbet_team1,rainbet_team2,rajbets_team1,rajbets_team2,rollbit_team1,rollbit_team2,roobet_team1,roobet_team2,rushbet.co_team1,rushbet.co_team2,spelet.lv_team1,spelet.lv_team2,sportaza_team1,sportaza_team2,sportuna_team1,sportuna_team2,stake_team1,stake_team2,starcasino.be_team1,starcasino.be_team2,sugarhouse_team1,sugarhouse_team2,superbet_team1,superbet_team2,superbet.ro_team1,superbet.ro_team2,superbet.rs_team1,superbet.rs_team2,svenskaspel_team1,svenskaspel_team2,thescore_team1,thescore_team2,tonybet_team1,tonybet_team2,unibet_team1,unibet_team2,unibet.ie_team1,unibet.ie_team2,unibet.se_team1,unibet.se_team2,vave_team1,vave_team2,virginbet_team1,virginbet_team2,wazamba_team1,wazamba_team2,winpot.mx_team1,winpot.mx_team2,31bet_team1,31bet_team2,3et_team1,3et_team2,apuestatotal_team1,apuestatotal_team2,ballybet_team1,ballybet_team2,betfair-ex_team1,betfair-ex_team2,betflag.it_team1,betflag.it_team2,bingoal.be_team1,bingoal.be_team2,bwin_team1,bwin_team2,bwin.dk_team1,bwin.dk_team2,bwin.es_team1,bwin.es_team2,codere.es_team1,codere.es_team2,coral_team1,coral_team2,draftkings_team1,draftkings_team2,estrelabet_team1,estrelabet_team2,fair999-ex_team1,fair999-ex_team2,fanatics_team1,fanatics_team2,freshbet_team1,freshbet_team2,goldbet.it_team1,goldbet.it_team2,goldenbet_team1,goldenbet_team2,jackbit_team1,jackbit_team2,ladbrokes_team1,ladbrokes_team2,lottomatica.it_team1,lottomatica.it_team2,mystake_team1,mystake_team2,orbitx_team1,orbitx_team2,paddypower_team1,paddypower_team2,partypoker_team1,partypoker_team2,piwi247-ex_team1,piwi247-ex_team2,planetwin365.it_team1,planetwin365.it_team2,pointsbet.com.au_team1,pointsbet.com.au_team2,pokerstars_team1,pokerstars_team2,pokerstars.uk_team1,pokerstars.uk_team2,rolletto_team1,rolletto_team2,scooore.be_team1,scooore.be_team2,sharpxch_team1,sharpxch_team2,sportingbet_team1,sportingbet_team2,sportsinteraction_team1,sportsinteraction_team2,stake.bet.br_team1,stake.bet.br_team2,tabtouch_team1,tabtouch_team2,unibet.be_team1,unibet.be_team2,unibet.com.au_team1,unibet.com.au_team2,unibet.dk_team1,unibet.dk_team2,velobet_team1,velobet_team2,vertex_team1,vertex_team2,betfirst.be_team1,betfirst.be_team2,betika_team1,betika_team2,betsafe_team1,betsafe_team2,betsson_team1,betsson_team2,bodog.eu_team1,bodog.eu_team2,bovada.lv_team1,bovada.lv_team2,inkabet_team1,inkabet_team2,nordicbet_team1,nordicbet_team2,sx.bet_team1,sx.bet_team2,888sport_team1,888sport_team2,888sport.ca_team1,888sport.ca_team2,888sport.de_team1,888sport.de_team2,888sport.es_team1,888sport.es_team2,888sport.ro_team1,888sport.ro_team2,mrgreen_team1,mrgreen_team2,mrgreen.dk_team1,mrgreen.dk_team2,pokerstars.it_team1,pokerstars.it_team2,sisal.it_team1,sisal.it_team2,snai.it_team1,snai.it_team2,start_dt,p1_norm,p2_norm,p_used1,p_used2,used1_norm,used2_norm,part1_norm,part2_norm,is_swapped,p_participant1,p_participant2,reco_pinnacle,reco_pinnacle_odds,reco_pinnacle_ev,reco_pinnacle_text,reco_polymarket,reco_polymarket_odds,reco_polymarket_ev,reco_polymarket_text,reco_stake,reco_stake_odds,reco_stake_ev,reco_stake_text,best_bookmaker,best_bet,best_odds,best_ev
2026-09-06T09:00:00+00:00,LPL,BO5,LGD GAMING,Shenzhen NINJAS IN PYJAMAS,0.5,0.5,0.5,0.5,LGD Gaming,Ninjas in Pyjamas,1.0,0.791,GameModelV5_LGBM+XGB+CAT,"low_confidence:Shenzhen NINJAS IN PYJAMAS->Ninjas in Pyjamas(0.79,fuzzy:ninjas in pyjamas)","low_confidence:Shenzhen NINJAS IN PYJAMAS->Ninjas in Pyjamas(0.79,fuzzy:ninjas in pyjamas)",skipped,2026-09-06 09:00:00,lgd gaming,ninjas in pyjamas,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lgd gaming,ninjas in pyjamas,,,False,,,NO BET,,,NO BET,NO BET,,,NO BET,NO BET,,,NO BET,,NO BET,,
2026-09-06T09:00:00+00:00,PCS,BO5,CTBC Flying Oyster Academy,Frank Esports,0.49511,0.50489,0.49511,0.50489,CTBC Flying Oyster Academy,Frank Esports,1.0,1.0,GameModelV5_LGBM+XGB+CAT,ok,,ok,2026-09-06 09:00:00,ctbc flying oyster academy,frank esports,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ctbc flying oyster academy,frank esports,,,False,,,NO BET,,,NO BET,NO BET,,,NO BET,NO BET,,,NO BET,,NO BET,,
2026-09-06T10:00:00+00:00,LES,BO5,Movistar KOI Fénix,Heretics Academy,0.24741,0.75259,0.24741,0.75259,Movistar KOI Fénix,Team Heretics Academy,1.0,0.95,GameModelV5_LGBM+XGB+CAT,ok,,ok,2026-09-06 10:00:00,movistar koi fenix,team heretics academy,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,movistar koi fenix,team heretics academy,,,False,,,NO BET,,,NO BET,NO BET,,,NO BET,NO BET,,,NO BET,,NO BET,,
2026-09-06T10:00:00+00:00,Hitpoint Masters,BO3,CITA Kaizen,BRUTE,0.5,0.5,0.5,0.5,,Ruzeh Esports,0.0,0.6,GameModelV5_LGBM+XGB+CAT,no_roster:CITA Kaizen(no_match:CITA Kaizen),no_roster:CITA Kaizen(no_match:CITA Kaizen),skipped,2026-09-06 10:00:00,nan,ruzeh esports,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,ruzeh esports,,,False,,,NO BET,,,NO BET,NO BET,,,NO BET,NO BET,,,NO BET,,NO BET,,
2026-09-06T12:00:00+00:00,Hitpoint Masters,BO3,UP2U Meavedron,eSuba,0.5,0.5,0.5,0.5,,eSuba,0.0,1.0,GameModelV5_LGBM+XGB+CAT,no_roster:UP2U Meavedron(no_match:UP2U Meavedron),no_roster:UP2U Meavedron(no_match:UP2U Meavedron),skipped,2026-09-06 12:00:00,nan,esuba,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,esuba,,,False,,,NO BET,,,NO BET,NO BET,,,NO BET,NO BET,,,NO BET,,NO BET,,
2026-09-06T15:00:00+00:00,LEC,BO5,G2 Esports,Karmine Corp,0.704412,0.295588,0.704412,0.295588,G2 Esports,Karmine Corp,1.0,1.0,GameModelV5_LGBM+XGB+CAT,ok,,ok,2026-09-06 15:00:00,g2 esports,karmine corp,id1800245274374592,2026-09-06T15:00:00.000Z,LEC,G2 Esports,Karmine Corp,0.0,0.0,True,2026-09-06T01:40:00.091Z,1.111,1.111,6.0,6.0,1.8,1.8,6.0,6.0,1.909,1.833,1.909,1.833,1.909,1.833,1.943,1.869,1.81,1.9,5.6,1.1,1.833,1.833,1.833,1.833,2.75,1.37,1.943,1.869,1.88,1.85,1.88,1.85,1.88,1.85,1.87,1.87,1.88,1.85,1.88,1.85,1.88,1.85,1.88,1.85,1.88,1.85,5.6,1.1,1.0,1.0,1.909,1.833,1.23,3.3,5.6,1.1,1.11,5.6,1.0,1.0,1.86,1.83,2.7,1.35,1.1,5.75,1.85,1.85,1.85,1.85,6.0,6.0,5.6,1.1,5.6,1.1,1.943,1.869,1.909,1.833,1.87,1.87,1.86,1.83,1.83,1.9,1.917,1.877,5.6,1.1,5.6,1.1,3.6,1.28,2.75,1.4,1.455,2.3,5.6,1.1,1.77,1.8,1.86,1.83,6.0,6.0,1.909,1.833,5.6,1.1,2.8,1.35,1.909,1.833,1.909,1.833,1.35,2.8,1.8,1.8,3.571,1.316,1.81,1.9,1.77,1.8,3.3,1.29,1.909,1.833,5.6,1.11,1.909,1.833,6.0,6.0,6.0,6.0,1.909,1.833,1.909,1.833,1.83,1.87,1.88,1.86,5.6,1.1,1.943,1.869,1.9,1.81,1.86,1.83,1.943,1.869,1.943,1.869,1.943,1.869,5.6,1.1,,,1.909,1.833,1.943,1.869,1.909,1.833,1.909,1.833,5.6,1.1,5.6,1.1,5.6,1.1,1.0,1.0,1.37,2.7,6.0,6.0,1.909,1.833,1.909,1.833,1.42,2.8,1.909,1.833,1.86,1.83,1.9,1.8,1.9,1.8,1.87,1.83,1.53,2.35,1.455,2.3,1.8,1.8,1.38,2.7,1.38,2.7,5.6,1.11,1.8,1.8,5.6,1.11,1.909,1.833,1.909,1.833,1.95,1.88,2.85,1.4,1.1,5.5,2.8,1.35,1.0,1.0,1.84,1.83,1.38,2.7,1.85,1.85,1.87,1.83,1.38,2.8,1.85,1.85,1.83,1.83,1.909,1.833,3.5,1.286,1.0,1.0,2.5,1.47,1.95,1.88,1.84,1.83,1.95,1.88,1.95,1.88,1.83,1.83,1.84,1.83,1.95,1.88,1.0,1.0,1.83,1.83,1.39,2.75,1.0,1.0,1.84,1.83,2.5,1.47,1.83,1.83,2.9,1.33,1.95,1.88,1.53,2.35,1.0,1.0,5.5,1.13,2.8,1.38,1.8,1.83,1.08,6.0,1.11,5.6,6.0,1.08,2.8,1.35,1.95,1.88,2.616,1.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-06 15:00:00,g2 esports,karmine corp,,,g2 esports,karmine corp,g2 esports,karmine corp,False,,,NO BET,,,NO BET,NO BET,,,NO BET,NO BET,,,NO BET,,NO BET,,
2026-09-06T16:00:00+00:00,CBLOL,BO5,FURIA,RED Kalunga,0.5,0.5,0.5,0.5,FURIA,,1.0,0.0,GameModelV5_LGBM+XGB+CAT,no_roster:RED Kalunga(no_match:RED Kalunga),no_roster:RED Kalunga(no_match:RED Kalunga),skipped,2026-09-06 16:00:00,furia,nan,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,furia,nan,,,False,,,NO BET,,,NO BET,NO BET,,,NO BET,NO BET,,,NO BET,,NO BET,,
2026-09-06T20:00:00+00:00,LCS,BO3,FlyQuest,Shopify Rebellion,0.809914,0.190086,0.809914,0.190086,FlyQuest,Shopify Rebellion,1.0,1.0,GameModelV5_LGBM+XGB+CAT,ok,,ok,2026-09-06 20:00:00,flyquest,shopify rebellion,id1800245072209180,2026-09-06T20:00:00.000Z,LCS,Flyquest,Shopify Rebellion,0.0,0.0,True,2026-09-06T01:39:59.907Z,2.546,,1.2,1.49,2.2,1.59,1.2,1.49,2.5,1.5,2.5,1.5,2.5,1.5,2.65,1.483,1.61,2.18,1.0,1.0,2.75,1.4,2.75,1.4,1.54,2.25,2.65,1.483,2.27,1.6,2.27,1.6,2.27,1.6,2.47,1.5,2.27,1.6,2.27,1.6,2.27,1.6,2.27,1.6,2.27,1.6,1.0,1.0,1.0,1.0,2.5,1.5,1.47,2.5,1.0,1.0,2.5,1.47,1.0,1.0,2.18,1.61,2.5,1.47,1.5,2.4,1.5,2.5,2.1,1.65,1.2,1.49,1.0,1.0,1.0,1.0,2.65,1.483,2.5,1.5,1.7,2.0,4.5,1.14,1.45,2.55,,,1.0,1.0,1.0,1.0,1.8,1.9,2.47,1.46,2.4,1.444,1.0,1.0,4.2,1.13,1.9,1.8,1.2,1.49,2.5,1.5,1.0,1.0,2.18,1.61,2.5,1.5,2.5,1.5,2.5,1.47,2.2,1.59,1.587,2.703,1.47,2.5,4.2,1.13,1.9,1.8,2.5,1.5,2.5,1.47,2.5,1.5,1.2,1.49,1.2,1.49,2.5,1.5,2.5,1.5,2.17,1.6,1.79,1.87,1.0,1.0,2.65,1.483,2.18,1.61,1.8,1.9,2.65,1.483,2.65,1.483,2.65,1.483,1.0,1.0,1.562,2.703,2.5,1.5,2.65,1.483,2.5,1.5,2.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.57,2.18,1.2,1.49,2.5,1.5,2.5,1.5,1.55,2.3,2.5,1.5,2.18,1.61,2.17,1.6,2.17,1.6,2.17,1.6,1.5,2.45,2.4,1.444,2.2,1.59,1.8,1.9,4.5,1.14,1.14,4.5,2.2,1.59,2.5,1.47,2.5,1.5,2.5,1.5,1.53,2.45,1.57,2.35,1.154,4.4,4.5,1.14,1.0,1.0,,,1.14,4.5,1.46,2.55,1.46,2.55,1.55,2.3,2.4,1.5,2.5,1.5,1.833,1.909,2.25,1.606,1.0,1.0,2.0,1.72,1.53,2.45,,,1.53,2.45,1.53,2.45,1.57,2.25,,,1.53,2.45,1.0,1.0,1.44,2.63,1.55,2.3,1.0,1.0,,,2.0,1.72,1.44,2.5,2.2,1.57,1.53,2.45,2.45,1.5,1.0,1.0,1.55,2.3,1.6,2.2,2.45,1.45,2.18,1.61,1.8,1.9,4.5,1.14,1.61,2.18,1.53,2.45,1.465,2.58,2.35,1.58,2.2,1.57,2.35,1.58,2.35,1.58,1.952,1.8,1.952,1.8,2.35,1.58,2.35,1.58,1.509,2.462,2.4,1.5,2.4,1.5,2.0,1.7,2.4,1.5,1.444,2.5,2.4,1.5,1.444,2.5,1.67,2.0,1.67,2.0,1.67,2.0,2026-09-06 20:00:00,flyquest,shopify rebellion,,,flyquest,shopify rebellion,flyquest,shopify rebellion,False,,,NO BET,,,NO BET,NO BET,,,NO BET,NO BET,,,NO BET,,NO BET,,
2026-09-06T23:00:00+00:00,LCS,BO3,Disguised,LYON,0.19017,0.80983,0.19017,0.80983,Disguised,LYON,1.0,1.0,GameModelV5_LGBM+XGB+CAT,ok,,ok,2026-09-06 23:00:00,disguised,lyon,id1800245072209172,2026-09-06T23:00:00.000Z,LCS,Disguisedtoast,Lyon Gaming,2.0,0.0,True,2026-09-06T01:39:59.521Z,1.25,3.75,17.0,1.25,1.091,5.9,17.0,1.25,1.0,10.0,1.0,10.0,1.0,10.0,1.102,6.35,1.14,4.9,1.0,1.0,10.0,1.03,10.0,1.03,1.22,3.75,1.102,6.35,3.6,1.24,3.6,1.24,3.6,1.24,1.21,4.05,3.6,1.24,3.6,1.24,3.6,1.24,3.6,1.24,3.6,1.24,1.0,1.0,1.0,1.0,1.0,10.0,1.32,3.0,1.0,1.0,1.32,3.0,1.0,1.0,1.14,4.9,1.14,4.9,11.0,1.01,1.2,4.0,1.02,10.0,17.0,1.25,1.0,1.0,1.0,1.0,1.102,6.35,1.0,10.0,3.45,1.25,1.32,3.0,5.4,1.12,,,1.0,1.0,1.0,1.0,1.13,5.0,3.75,1.21,1.167,3.6,1.0,1.0,3.1,1.25,3.2,1.3,17.0,1.25,1.0,10.0,1.0,1.0,1.14,4.9,1.0,10.0,1.0,10.0,1.3,3.2,1.091,5.9,1.149,6.667,8.5,1.05,3.1,1.25,1.3,3.2,1.0,10.0,1.14,4.9,1.0,10.0,17.0,1.25,17.0,1.25,1.0,10.0,1.0,10.0,3.1,1.32,1.23,3.57,1.0,1.0,1.102,6.35,1.05,8.5,4.9,1.14,1.102,6.35,1.102,6.35,1.102,6.35,1.0,1.0,1.087,9.091,1.0,10.0,1.102,6.35,1.0,10.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.5,1.03,17.0,1.25,1.0,10.0,1.0,10.0,1.13,5.0,1.0,10.0,1.14,4.9,1.11,5.2,1.11,5.2,5.2,1.11,1.14,4.9,1.167,3.6,1.091,5.9,3.2,1.3,1.05,8.5,1.05,8.5,1.091,5.9,1.14,4.9,1.0,10.0,1.0,10.0,10.19,1.04,4.25,1.2,1.033,11.0,3.0,1.32,1.04,12.0,,,8.5,1.05,3.7,1.25,3.7,1.25,10.5,1.045,,,5.0,1.14,,,6.0,1.125,1.04,12.0,,,10.19,1.04,,,10.19,1.04,10.19,1.04,1.11,6.0,,,10.19,1.04,1.04,12.0,10.5,1.03,10.5,1.045,1.04,12.0,,,,,1.17,4.33,1.005,11.0,10.19,1.04,3.0,1.32,1.04,12.0,6.25,1.11,5.5,1.13,1.29,3.0,1.3,3.2,3.2,1.3,8.5,1.05,1.05,8.5,10.19,1.04,,,5.25,1.15,1.03,9.5,5.25,1.15,5.25,1.15,6.0,1.111,6.0,1.111,5.25,1.15,5.25,1.15,12.308,1.05,3.75,1.222,3.75,1.222,3.75,1.222,11.0,1.02,3.75,1.222,3.75,1.222,3.5,1.25,,,,,,,2026-09-06 23:00:00,disguisedtoast,lyon gaming,,,disguised,lyon,disguisedtoast,lyon gaming,False,,,NO BET,,,NO BET,NO BET,,,NO BET,NO BET,,,NO BET,,NO BET,,
2026-09-07T08:00:00+00:00,LCK Challengers,BO5,KRX Challengers,DNS Challengers,0.5,0.5,0.5,0.5,Kiwoom DRX Challengers,TSM Challengers,0.462,0.333,GameModelV5_LGBM+XGB+CAT,"low_confidence:KRX Challengers->Kiwoom DRX Challengers(0.46,fuzzy:kiwoom drx challengers)+DNS Challengers->TSM Challengers(0.33,fuzzy:tsm challengers)","low_confidence:KRX Challengers->Kiwoom DRX Challengers(0.46,fuzzy:kiwoom drx challengers)+DNS Challengers->TSM Challengers(0.33,fuzzy:tsm challengers)",skipped,2026-09-07 08:00:00,kiwoom drx challengers,tsm challengers,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kiwoom drx challengers,tsm challengers,,,False,,,NO BET,,,NO BET,NO BET,,,NO BET,NO BET,,,NO BET,,NO BET,,
